;AL;AMMC;CCP;CMP;CVLP;DLP;DMP;EB;FB;IDFP;LH;LOB;LOP;MB;MED;NOD;OG;OPTU;PAN;PCB;SDFP;SOG;SPP;VLP-D;VLP-V;VMP;al;ammc;ccp;cmp;cvlp;dlp;dmp;idfp;lh;lob;lop;mb;med;nod;og;optu;pan;sdfp;sog;spp;vlp-d;vlp-v;vmp
dlp;51,22191801;0;50,82633374;9,33583926;12,62637928;281,943725;109,6400986;37,22526826;363,2122129;44,88437235;37,98141747;2;0;72,56645625;34,85451478;2,414213562;2;75,44194054;3,31662479;7,313193048;365,4103196;53,81569343;81,20809334;76,1913773;6,236067977;31,23726753;51,03073087;9,162551715;84,62182122;10,96811879;26,03294783;0;185,9991733;65,20158335;273,5187111;17,00875522;0;182,8304945;0;6;1,414213562;57,58545976;22,14312475;1177,97563;69,14103916;310,638308;175,9454827;31,83499924;100,3697177
dmp;39,10084867;101,4978622;1341,133912;163,8162165;468,7399937;162,4361974;2322,925179;134,6211076;633,8031641;285,5835552;30,76050604;104,1934225;4,414213562;56,14248919;33,05828976;40,03569812;5,732050808;50,30290134;9,414213562;28,10267467;263,4385129;282,9102547;254,3268367;374,3618351;13,64099797;1344,271362;136,5281697;230,308859;897,4718585;312,7113005;902,2352195;404,8702343;0;656,7444661;435,6570713;430,9467856;139,1575897;445,6321825;695,90683;75,41085051;58,73959714;206,5537156;70,58469034;817,6733783;588,2920019;940,3132641;1298,576155;145,2000434;1589,020707
idfp;49,93336482;10,80791983;112,471398;19,92336186;59,04880718;11,27106742;221,9547765;80,34066791;527,8337501;205,5773565;27,09723894;0;0;121,7168873;0;34,43242625;0;21,10870943;2,449489743;1,414213562;188,3928468;70,21038189;19,29706189;11,97355623;2;282,68346;172,341424;14,59110992;124,334027;66,6312086;266,7082987;71,88229735;388,9656307;0;360,0802854;77,0036742;0;306,580259;23,62449408;52,91559944;0;44,10705827;18,24088561;465,9787623;184,3101078;129,3748101;133,2257583;3,236067977;394,5457207
lh;29,41100282;0;12,93283907;4,236067977;6,92820323;95,7199624;29,55400147;0;48,47124386;14,03553506;34,16893051;4,472135955;0;9,106343992;12,489996;0;0;5,16227766;2;0;71,94462806;22,62982963;39,30814266;21,93623757;0;3,872983346;279,425608;38,92857484;51,91666682;43,50476388;91,15820217;1475,445648;245,3467201;141,7867376;0;0;0;114,8544638;16,33809398;0;1;14,84178977;122,2742511;659,3758177;136,0874803;272,9489688;390,1732377;62,61720384;202,254362
lob;0;0;21,23442711;19,22875656;47,4653343;1;72,26683846;0;2;0;2,236067977;176,6827825;21,55313844;0;34,25937574;0;98,16734279;0;0;0;5;0;2,828427125;155,9062838;21,00600361;103,2056899;0;1,414213562;119,1179334;9,856853862;246,2105237;297,4052958;668,1349213;5,099019514;20,0067471;0;493,3968166;9,353955244;618,5098944;0;241,8420412;634,7906992;10,34727001;3,414213562;2,449489743;238,9880743;2088,560322;8,94427191;429,4106229
lop;0;0;0;0;49,44800313;0;21,9523853;0;0;0;0;20,64433749;28,27105745;0;13,16552506;0;1,732050808;0;0;0;0;0;0;9,080520036;0;1;0;0;0;0;502,7725708;0;27,84641912;0;0;1314,399613;0;0;653,7745995;0;0;0;10;0;0;9,38083152;121,6320356;15,8113883;44,11478449
mb;38,28855197;5,477225575;61,50868726;0;0;50,5913002;66,14892434;299,502018;215,7104887;143,680884;18,21981936;3,14626437;0;528,404642;12,4807407;0;0;25,22762622;1,414213562;17,99966216;346,16959;41,43152402;20,94473879;14,55926548;1,414213562;56,45154035;126,6095851;21,9121245;60,99065511;11,82842712;42,56434994;190,2739356;143,3784565;350,4156932;155,6051998;13,67707825;0;0;6;2,732050808;3;25,05320371;40,31931831;668,6034106;94,4687564;104,2142908;38,05156833;0;117,657955
med;0;0;0;12,40967365;42,71066864;0;19,26532825;0;0;0;0;176,1682082;83,39407293;0;742,0320478;0;5,974691495;0;0;0;0;0;0;9,69213043;2;52,58227272;0;0;31,33182694;0;61,8729131;92,64123631;148,1966004;0;45,57657215;1919,277351;437,3967832;30,29562908;0;0;56,7657845;49,05213605;0;20,7665282;0;224,4982327;241,6547596;0;364,6087329
nod;0;8,019247716;7,473708194;2,828427125;3,414213562;0;26,22729986;8,277916868;63,89998951;38,76995491;0;0;0;2,828427125;0;4,414213562;0;1,414213562;0;0;7,387408698;13,31456618;3,732050808;4;1,414213562;6,828427125;0;5,766114533;5,996789257;4,414213562;14,75587376;0;20,80792665;39,82995787;0;0;0;7,14626437;8,062257748;0;0;0;0;14,28323352;11,70820393;0;3;1,414213562;9,024579547
og;0;2;10,53867354;0;8,242640687;1,414213562;5,595754113;5,277916868;6,474178436;0;3,16227766;13,67769355;3;0;12,17371228;0;20,86092211;0;0;0;12,53516943;3,741657387;4;60,59556535;13,53663106;9,847674841;0;18,27996354;37,2886348;0;36,94579783;18,4854986;86,98317479;0;5,464101615;967,7023311;7,84783538;1;186,0557543;0;0;6,477225575;1;7,828427125;9,999324178;55,15077502;448,0389483;87,05165024;58,85220186
optu;0;0;50,84336816;0;5;19,71670998;57,68490855;8,863703305;68,03709738;61,50088379;0;1,732050808;0;26,92017778;0;2;0;130,2098937;0;7,048675598;117,6035488;0;19,55872286;8,277916868;0;41,57300792;0;2;98,23018904;16,43181864;42,80654216;29,25199779;128,0114348;22,77942875;6,32455532;36,31981628;0;31,15030605;1;3,14626437;0;0;0;145,6108533;2;14,64755903;26,21818184;0;139,0369675
pan;50,97076645;9,366464423;8,449489743;2,236067977;53,99269147;5,464101615;19,79333517;3,464101615;10;8,106343992;34,93390355;0;0;3,414213562;0;0;0;0;13,67033086;4,449489743;18,07342512;34,95125223;25,66505049;15,72419587;2,828427125;27,65667453;126,1221966;14,14965934;81,76900989;8,700169593;119,4507173;139,8433274;306,563847;53,10541441;318,8809734;72,34447985;0;89,2713813;10,79385037;0;0;16,02457955;0;110,9931697;54,28645137;338,1180948;340,1166016;13,01011304;112,2665292
sdfp;83,76930214;9,560477932;249,9391696;17,94938299;42,78978201;156,0085379;420,0352338;204,3995399;1830,012278;270,2567509;40,78957499;76,4588981;1;753,3814645;28,40799084;16,75583335;0;176,0944565;3;23,13017229;1564,059691;285,7163417;124,8490406;113,8175015;0;301,5209076;160,2070335;27,79600591;297,7588064;33,61386244;125,2574396;776,5993486;450,5281645;523,6491925;205,1337149;3,414213562;0;620,484867;27,30776588;33,28406487;0;207,1168963;37,00417366;0;249,3925394;348,8639507;158,5207351;0;335,3374823
sog;65,70389947;205,6854848;43,25773608;109,9735362;161,6526956;56,28172171;110,8984702;16,5594701;38,47118849;17,99281836;96,15977192;0;0;27,10690262;106,5578595;0;0;0;20,81645764;6,059964873;423,5097017;734,1173342;45,23283427;106,1987162;43,26340703;155,7280098;103,3621279;305,4840699;139,6229123;196,1007404;437,5672165;422,1468736;560,5506486;128,0741075;508,8637626;71,14803758;28,82808434;143,755966;318,7764023;8,867098271;15,55909814;13,06461513;41,5582229;625,5392763;0;406,918706;636,9335246;144,1148279;284,829551
spp;11,89756289;5,990704785;103,2512729;28,82072237;60,50829318;165,383909;470,6409139;24,67859353;215,6765106;36,898227;18,91672675;26,80238966;0;32,12037227;44,23901173;3,968118785;0;28,00870327;0;2;231,7434866;53,98145964;181,3339403;113,6556939;1,414213562;127,5840682;126,015565;48,6038023;219,5009305;63,91463784;174,595563;575,7837268;610,4477863;149,421004;259,5287329;119,8300231;24,6031053;143,028984;215,5809588;6,595754113;25,25311031;89,75079162;80,33164603;742,0080793;167,0722206;0;496,0961886;53,94265279;392,2889971
vlp-d;13,47884515;47,34231456;455,5311935;70,14471816;293,0848867;197,6664105;991,7808624;54,77513321;182,760422;60,43389307;21,62325956;87,64573688;4,236067977;24,02867959;4,449489743;10,55411906;38,61323826;11,60536069;0;3,828427125;178,2177591;129,4891227;164,9939612;882,6277688;134,963146;494,0508598;41,66452581;255,5015302;478,7827223;142,5185505;634,0174477;500,1530332;1576,567592;211,9290673;312,0652918;1277,301705;165,8900964;124,248523;406,9438439;22,14572438;338,294875;219,7715269;77,58773493;625,5750306;372,26932;751,2465873;0;813,1263016;895,5338831
vlp-v;1,414213562;23,77100454;29,15400762;3;25,39082605;27,49646714;60,87615794;11,19417344;35,24657387;10,23188229;12,9614814;0;0;18,24867831;0;1,414213562;1;0;0;0;34,6869443;15,44670855;34,99519057;189,5552083;65,74870696;13,78287827;3,16227766;108,8863909;79,8370006;23,36664289;155,9738654;120,6610937;325,5973776;10,0644951;50,85138059;12,78664443;0;26,82984324;0;2,828427125;71,20833457;6,104629322;5,744562647;67,11771219;79,10548162;189,8086108;1011,333246;0;90,71858049
vmp;32,94660741;213,66628;1169,323537;214,8541868;632,0156133;14,9702683;1364,946284;37,89464896;88,00938269;65,15490663;58,84955921;149,9949909;30,28077565;16,21110255;230,9162804;18,64559243;9,194939968;27,23162457;10,56719601;21,1774118;133,0885129;285,2259214;69,78733649;207,5437349;27,95571251;1185,989993;51,85752375;325,4899952;638,0786619;372,4469435;1094,242854;281,7628227;1792,700792;411,4912919;554,9991759;458,2316271;196,4449723;274,0779251;1279,001896;29,27367749;28,10506065;88,23760565;60,89647066;357,4933583;447,057785;812,90003;1196,058562;102,7206719;0
